Biomarker,CAT,GPX,MDA,SOD,TAC
CAT,1.0,0.509,0.6214,0.2907,0.5854
GPX,0.509,1.0,0.7046,0.4795,0.3793
MDA,0.6214,0.7046,1.0,0.7201,0.4192
SOD,0.2907,0.4795,0.7201,1.0,0.3674
TAC,0.5854,0.3793,0.4192,0.3674,1.0
