Biomarker,CAT,GPX,MDA,SOD,TAC
CAT,1.0,0.5174,0.4213,0.472,0.3125
GPX,0.5174,1.0,0.6268,0.7047,0.3803
MDA,0.4213,0.6268,1.0,0.482,0.5668
SOD,0.472,0.7047,0.482,1.0,-0.0281
TAC,0.3125,0.3803,0.5668,-0.0281,1.0
